Category,Dictonary_Name,Parameter,Name,amount,unit,uncertainty_type,loc,scale,shape,minimum,maximum,Reference,Comment
Op_Param,Op_Param,Taod,Annual operating days,260,days/year,,,,,,,,
Op_Param,Op_Param,Tdoh,Daily operating hours,8,hours/day,,,,,,,,
Op_Param,Op_Param,Tact,Active composting time,70,days,,,,,,,,
Op_Param,Op_Param,Tcur,Curing time,30,days,,,,,,,,
Sawdust,Sawdust,Bulk_Density,Bulk Density,240,kg/m3,,,,,,,,
Sawdust,Sawdust,Moisture_Content,Moisture Content,0.39,None,,,,,,,,
Sawdust,Sawdust,Volatile Solids,Volatile Solids,0.906,None,,,,,,,,
Sawdust,Sawdust,C_Cont,C_Cont,53.4,%,,,,,,,,
Sawdust,Sawdust,N_Cont,N_Cont,0.25,%,,,,,,,,
Sawdust,Sawdust,Pre screen out proportion,Pre screen out proportion,0.05,None,,,,,,,,
Sawdust,Sawdust,Post screen out proportion,Post screen out proportion,1,None,,,,,,,,
Sawdust,Sawdust,Proportion Vacuumed Out,Proportion Vacuumed Out,1,None,,,,,,,,
Sawdust,Sawdust,C Emitted,C Emitted,18,%,,,,,,,,
Sawdust,Sawdust,VS loss per C loss,VS loss per C loss,2,None,,,,,,,,
Wood_Chips,Wood_Chips,Bulk_Density,Bulk Density,320,kg/m3,,,,,,,,
Wood_Chips,Wood_Chips,Moisture_Content,Moisture Content,0.5,None,,,,,,,,
Wood_Chips,Wood_Chips,Volatile Solids,Volatile Solids,0.906,None,,,,,,,,
Screen_Rejects,Screen_Rejects,Moisture_Content,Moisture Content,0.2678,None,,,,,,,,
Screen_Rejects,Screen_Rejects,Volatile Solids,Volatile Solids,0.8825,None,,,,,,,,
Screen_Rejects,Screen_Rejects,C_Cont,C_Cont,48.1,%,,,,,,,,
Screen_Rejects,Screen_Rejects,N_Cont,N_Cont,0.1,%,,,,,,,,
Screen_Rejects,Screen_Rejects,Pre screen out proportion,Pre screen out proportion,0,None,,,,,,,,
Screen_Rejects,Screen_Rejects,Post screen out proportion,Post screen out proportion,90,None,,,,,,,,
Screen_Rejects,Screen_Rejects,Proportion Vacuumed Out,Proportion Vacuumed Out,1,None,,,,,,,,
Degradation_Parameters,Degradation_Parameters,CN,inimum CN target at beginning of active composting,30,kg C/kg N,,,,,,,,
Degradation_Parameters,Degradation_Parameters,initMC,Minimum initial moisture content,0.55,None,,,,,,,,
Degradation_Parameters,Degradation_Parameters,MCac,Moisture content after active composting,0.5,None,,,,,,,,
Degradation_Parameters,Degradation_Parameters,MCcu,Moisture content after curing,0.45,None,,,,,,,,
Degradation_Parameters,Degradation_Parameters,densfinComp,Final compost bulk density,700,kg/m3,,,,,,,,
Degradation_Parameters,Degradation_Parameters,acDegProp,Proportion of mass loss that occurs during active composting,90,%,,,,,,,,
Material_Properties,Material_Properties,densFC,Density of final compost,700,kg/m3,,,,,,,,
Material_Properties,Material_Properties,densPeat,Density of peat,200,kg/m3,,,,,,,,
Material_Properties,Material_Properties,PeatSubFac,Volumetric peat replacement factor,1,None,,,,,,,,
Biological_Degredation,Biological_Degredation,pCasCH4,Proportion of emitted C emitted as CH4,0.017,None,,,,,,,,
Biological_Degredation,Biological_Degredation,pNasNH3,Proportion of emitted N emitted as NH3,0.04,None,,,,,,,,
Biological_Degredation,Biological_Degredation,pNasN2O,Proportion of emitted N emitted as N2O,0.004,None,,,,,,,,
Biological_Degredation,Biological_Degredation,bfCH4re,Biofilter CH4 removal efficiency,0.15,None,,,,,,,,
Biological_Degredation,Biological_Degredation,bfNH3re,Biofilter NH3 removal efficiency,48,%,,,,,,,,
Biological_Degredation,Biological_Degredation,bfN2Ore,Biofilter N2O removal efficiency,0,%,,,,,,,,
Biological_Degredation,Biological_Degredation,preNH3toNOx,Proportion of removed NH3 that becomes NOx,1,None,,,,,,,,
Biological_Degredation,Biological_Degredation,preNH3toN2O,Proportion of removed NH3 that becomes Nitrous Oxide,0,None,,,,,,,,
Biological_Degredation,Biological_Degredation,bfVOCre,Biofilter VOC removal efficiency,18,%,,,,,,,,
Biological_Degredation,Biological_Degredation,percCStor,Percent of carbon in compost remaining after 100 years,10,%,,,,,,,,
Biological_Degredation,Biological_Degredation,percCStor_LF,Percent of carbon in compost remaining after 100 years,100,%,,,,,,,,
Biological_Degredation,Biological_Degredation,humFormFac,100 year carbon storage from humus formation,0,kg-C/kg-C in Compost,,,,,,,,
Land_app,Land_app,perN2Oevap,Percent of applied N evaporated as N2O,1.5,%,,,,,,,,
Land_app,Land_app,perNH3evap,Percent of Ammonia that evaporates,15,%,,,,,,,,
Land_app,Land_app,perNasNH3fc,Percent N that is Ammonia,50,%,,,,,,,,
Land_app,Land_app,distLand,Haul distance to land,20,km,,,,,,,,
Land_app,Land_app,land_payload,Actual payload of truck used to haul soil amendment,7.3,Mg,,,,,,,,
Odor_Cont,Odor_Cont,Moc,OC blower power required per air flow rate,0,kW/cmm,,,,,,,,
Odor_Cont,Odor_Cont,ocReqAF,Odor control air flow required,0,m3/Mgpd,,,,,,,,
Vaccum_sys,Vaccum_sys,vacDiesFac,Diesel use,0.22,L/Mg,,,,,,,,
Vaccum_sys,Vaccum_sys,vacElecFac,Vacuum electricity (diesel by default),0,kWh/Mg,,,,,,,,
Screen,Screen,Mtr,Energy required per weight of post-screened material,0.9,kWh/Mg,,,,,,,,
Curing,Curing,Ftc,Frequency of turning during curing phase,0.14,1/day,,,,,,,,
Loader,Loader,hpfel,Front end loader energy required per weight flow of material,0.336,kW/Mgd,,,,,,,,
Loader,Loader,Mffel,Front end loader specific fuel consumption,0.26,L/kWh,,,,,,,,
Office,Office,Mta,Office Area required per ton per day of material,1.7,m2/Mgpd,,,,,,,,
Office,Office,Mea,Energy required to power an office,290,kWh/m2-yr,,,,,,,,
Fertilizer_offset,Fertilizer_offset,choice_BU,Offset Beneficial Use of Compost? (0=no; 1=yes),1,None,,,,,,,,
Fertilizer_offset,Fertilizer_offset,peatOff,Soil amendment offset peat (1) or no (0),1,None,,,,,,,,
Fertilizer_offset,Fertilizer_offset,fertOff,Soil amendment offset fertilizer (1) or no (0),1,None,,,,,,,,
AC_Aeration,AC_Aeration,Aeff,Motor efficiency,0,kW-in/kW-out,,,,,,,,
AC_Aeration,AC_Aeration,Bhp,Blower power,0,kW,,,,,,,,
AC_Aeration,AC_Aeration,Breq,Blowers required per dry mass compost.,0,1/Mg,,,,,,,,
AC_Aeration,AC_Aeration,blPropON,Proportion of the time that blowers are on,0,None,,,,,,,,
AC_Turning,AC_Turning,Mwta,Windrow turner power rating,0.24,kWh/Mg,,,,,,,,
AC_Turning,AC_Turning,Mwfa,The fuel consumption of a windrow turner,0.127,L/kWh,,,,,,,,
AC_Turning,AC_Turning,Fta,Turning frequency,0.33,1/days,,,,,,,,
Shredding,Shredding,Mtgp,Grinder power rating.,10.6,kWh/Mg,,,,,,,,
Shredding,Shredding,Mtgf,Grinder fuel consumption,0.25,L/kWh,,,,,,,,
Vessel,Vessel,Minv,Vessel energy use per weight of material,0,kWh/Mg,,,,,,,,
Capital_Cost,Capital_Cost,Capital_Cost,Capital Cost,49.75264423,$/Mg,,,,,,,,
Operational_Cost,Operational_Cost,Yard_Trimmings_Leaves,Operation cost of Yard_Trimmings_Leaves,15.73874462,$/Mg,,,,,,,,
Operational_Cost,Operational_Cost,Yard_Trimmings_Grass,Operation cost of Yard_Trimmings_Grass,24.14271134,$/Mg,,,,,,,,
Operational_Cost,Operational_Cost,Yard_Trimmings_Branches,Operation cost of Yard_Trimmings_Branches,25.45564753,$/Mg,,,,,,,,
Operational_Cost,Operational_Cost,Food_Waste_Vegetable,Operation cost of Food_Waste_Vegetable,23.97137735,$/Mg,,,,,,,,
Operational_Cost,Operational_Cost,Food_Waste_Non_Vegetable,Operation cost of Food_Waste_Non_Vegetable,26.98523095,$/Mg,,,,,,,,
Operational_Cost,Operational_Cost,Wood,Operation cost of Wood,22.88273715,$/Mg,,,,,,,,
Operational_Cost,Operational_Cost,Wood_Other,Operation cost of Wood_Other,22.88273715,$/Mg,,,,,,,,
Operational_Cost,Operational_Cost,Textiles,Operation cost of Textiles,18.68685015,$/Mg,,,,,,,,
Operational_Cost,Operational_Cost,Rubber_Leather,Operation cost of Rubber_Leather,17.84291244,$/Mg,,,,,,,,
Operational_Cost,Operational_Cost,Newsprint,Operation cost of Newsprint,19.65232011,$/Mg,,,,,,,,
Operational_Cost,Operational_Cost,Corr_Cardboard,Operation cost of Corr_Cardboard,19.65557187,$/Mg,,,,,,,,
Operational_Cost,Operational_Cost,Office_Paper,Operation cost of Office_Paper,18.8446273,$/Mg,,,,,,,,
Operational_Cost,Operational_Cost,Magazines,Operation cost of Magazines,19.07122226,$/Mg,,,,,,,,
Operational_Cost,Operational_Cost,third_Class_Mail,Operation cost of third_Class_Mail,19.40399897,$/Mg,,,,,,,,
Operational_Cost,Operational_Cost,Folding_Containers,Operation cost of Folding_Containers,19.7879172,$/Mg,,,,,,,,
Operational_Cost,Operational_Cost,Paper_Bags,Operation cost of Paper_Bags,19.7879172,$/Mg,,,,,,,,
Operational_Cost,Operational_Cost,Mixed_Paper,Operation cost of Mixed_Paper,19.644145,$/Mg,,,,,,,,
Operational_Cost,Operational_Cost,Paper_Non_recyclable,Operation cost of Paper_Non_recyclable,19.85232453,$/Mg,,,,,,,,
Operational_Cost,Operational_Cost,HDPE_Translucent_Containers,Operation cost of HDPE_Translucent_Containers,21.77677515,$/Mg,,,,,,,,
Operational_Cost,Operational_Cost,HDPE_Pigmented_Containers,Operation cost of HDPE_Pigmented_Containers,21.77677515,$/Mg,,,,,,,,
Operational_Cost,Operational_Cost,PET_Containers,Operation cost of PET_Containers,21.77677515,$/Mg,,,,,,,,
Operational_Cost,Operational_Cost,Plastic_Other_1_Polypropylene,Operation cost of Plastic_Other_1_Polypropylene,21.77008532,$/Mg,,,,,,,,
Operational_Cost,Operational_Cost,Plastic_Other_2,Operation cost of Plastic_Other_2,21.76706979,$/Mg,,,,,,,,
Operational_Cost,Operational_Cost,Mixed_Plastic,Operation cost of Mixed_Plastic,21.77452644,$/Mg,,,,,,,,
Operational_Cost,Operational_Cost,Plastic_Film,Operation cost of Plastic_Film,22.22939215,$/Mg,,,,,,,,
Operational_Cost,Operational_Cost,Plastic_Non_Recyclable,Operation cost of Plastic_Non_Recyclable,22.22066733,$/Mg,,,,,,,,
